Date,Open,High,Low,Close,Volume
2020-01-02,71.4084,72.4606,71.1545,72.4006,140681710
2020-01-03,71.6304,72.4567,71.4724,71.699,151973851
2020-01-06,70.816,72.3055,70.5707,72.2661,122979354
2020-01-07,72.2759,72.534,71.7108,71.9297,115649091
2020-01-08,71.6322,73.3858,71.6304,73.0857,137276166
2020-01-09,74.0598,74.8261,73.8127,74.6407,176813384
2020-01-10,74.8684,75.37,74.3052,74.8045,146097131
2020-01-13,75.1215,76.4325,75.0007,76.406,126617873
2020-01-14,76.3423,76.5512,75.251,75.3729,168648876
2020-01-15,75.1726,76.0527,74.6221,75.0481,126448450
2020-01-16,75.5936,76.0988,75.2315,75.9889,112867961
2020-01-17,76.2371,76.8337,75.932,76.8318,142931222
2020-01-21,76.4619,76.9005,76.1714,76.3107,114956961
2020-01-22,76.7945,77.136,76.4904,76.5826,105611741
2020-01-23,76.6346,77.0312,76.0871,76.9505,108349215
2020-01-24,77.1999,77.9387,76.5382,76.729,151975931
2020-01-27,74.7388,75.1529,73.4916,74.4748,167950062
2020-01-28,75.3532,76.7511,75.2549,76.5806,168254894
2020-01-29,78.2104,79.0288,77.4665,78.1828,224638329
2020-01-30,77.2714,78.1221,76.8357,78.0689,131447027
2020-01-31,77.3626,77.7856,74.315,74.6123,206995662
2020-02-03,73.3544,75.5701,72.851,74.4052,180442692
2020-02-04,76.0067,77.0506,75.6034,76.8612,141686753
2020-02-05,77.9847,78.2859,76.883,77.4843,123236870
2020-02-06,77.7581,78.3969,77.2048,78.3939,109338174
2020-02-07,77.8923,78.1418,76.8357,77.3284,121762646
2020-02-10,75.9142,77.6945,75.8339,77.6945,113138581
2020-02-11,78.1908,78.2635,77.0093,77.2292,97592094
2020-02-12,77.6747,79.066,77.6747,79.06,117671868
2020-02-13,78.332,78.8227,78.1291,78.4968,98031255
2020-02-14,78.4667,78.7648,78.0094,78.5165,82890307
2020-02-18,76.1982,77.2615,76.0184,77.08,158056487
2020-02-19,77.3205,78.4251,77.3205,78.1947,97241186
2020-02-20,77.9555,78.445,76.8879,77.395,104051293
2020-02-21,76.9879,77.4265,75.0235,75.6406,134200895
2020-02-24,71.8274,73.4956,69.8848,72.0483,229895979
2020-02-25,72.7177,73.0994,69.1372,69.6062,238667948
2020-02-26,69.234,71.9786,69.2272,70.7118,205600585
2020-02-27,67.9234,69.1066,65.953,66.0895,331716817
2020-02-28,62.1635,67.2727,61.9456,66.05,441679555
2020-03-02,68.2039,72.835,67.105,72.1973,353229232
2020-03-03,73.3729,73.4525,69.0576,69.9073,330547532
2020-03-04,71.6285,73.3111,70.8258,73.1503,226774378
2020-03-05,71.4055,72.3792,70.4116,70.7746,194073628
2020-03-06,68.1363,70.2695,67.9536,69.8355,234015644
2020-03-09,63.7296,67.1942,63.5479,64.3115,296682605
2020-03-10,66.9617,69.2136,65.0876,68.9457,295177436
2020-03-11,67.0236,67.9516,65.6891,66.5524,265265286
2020-03-12,61.8418,65.2397,59.9223,59.9794,432977206
2020-03-13,64.0022,67.6348,61.1215,67.1648,383580668
2020-03-16,58.4623,62.6003,57.9903,58.5251,333597755
2020-03-17,59.8047,62.2459,57.6048,61.0997,335286730
2020-03-18,57.9335,60.4071,57.2926,59.6016,310638881
2020-03-19,59.7752,61.0957,58.6213,59.1443,281278821
2020-03-20,59.725,60.8496,55.089,55.3901,415614952
2020-03-23,55.1072,55.2104,51.3729,54.2145,348423743
2020-03-24,57.1113,59.8486,56.6127,59.6516,297496118
2020-03-25,60.5876,62.399,59.0276,59.3257,314124037
2020-03-26,59.5652,62.5041,59.526,62.4451,261313726
2020-03-27,61.0735,61.8239,59.6927,59.8616,211294187
2020-03-30,60.5848,61.7396,60.2629,61.5688,173798032
2020-03-31,61.7583,63.4254,60.8919,61.4412,203829542
2020-04-01,59.5612,60.0961,57.7773,58.2119,182325790
2020-04-02,58.0719,59.2346,57.2397,59.1814,171684776
2020-04-03,58.6655,59.3689,57.742,58.3329,134381348
2020-04-06,60.6221,63.5733,60.2579,63.4205,208814809
2020-04-07,65.4318,65.6507,62.5825,62.6846,209918831
2020-04-08,63.4843,64.6036,63.1173,64.2876,174748721
2020-04-09,64.9237,65.2562,63.9602,64.7551,167734994
2020-04-13,64.8333,66.1343,64.2299,66.0247,135563808
2020-04-14,67.6546,69.6472,67.1844,69.3598,201752656
2020-04-15,68.2334,69.1861,67.8075,68.7259,135700012
2020-04-16,69.4362,69.6344,68.2217,69.2735,162570676
2020-04-17,68.7878,69.3321,66.8941,68.3313,222709871
2020-04-20,67.1599,68.0597,66.8921,66.9115,134520955
2020-04-21,66.7556,66.989,64.1338,64.8472,187264229
2020-04-22,66.112,67.1471,65.7704,66.7116,121114245
2020-04-23,66.6586,68.0765,66.4172,66.4554,129140042
2020-04-24,66.9773,68.3834,66.9284,68.3738,130893169
2020-04-27,68.088,68.7525,67.6417,68.4227,121145501
2020-04-28,68.8819,69.0655,67.2218,67.3129,115886520
2020-04-29,68.7973,69.9927,68.5945,69.5216,142038584
2020-04-30,70.0642,71.1644,69.671,70.9896,189408354
2020-05-01,69.1665,72.2437,69.0695,69.8454,248955797
2020-05-04,69.8709,70.9621,69.1822,70.8336,138197036
2020-05-05,71.2937,72.7282,71.1496,71.901,152871821
2020-05-06,72.6008,73.2718,72.2121,72.6421,147266642
2020-05-07,73.267,73.7382,72.9628,73.3897,119208084
2020-05-08,74.0498,75.1921,73.7233,75.1373,138319237
2020-05-11,74.6486,76.8142,74.4387,76.3206,150596666
2020-05-12,77.0043,77.4529,75.3263,75.4472,167472603
2020-05-13,75.6287,76.5482,73.4594,74.5387,207015183
2020-05-14,73.7773,75.056,73.0559,74.9938,163993184
2020-05-15,72.7665,74.6005,72.7341,74.5532,171648894
2020-05-18,75.8751,76.6806,75.1861,76.3087,139686003
2020-05-19,76.3255,77.1733,75.8358,75.8681,104971042
2020-05-20,76.725,77.4118,76.609,77.343,115057848
2020-05-21,77.2066,77.7464,76.5285,76.7661,105960917
2020-05-22,76.5052,77.343,76.403,77.2615,84409583
2020-05-26,78.3793,78.5578,76.6806,76.7367,129521438
2020-05-27,76.5935,77.2194,75.8553,77.0732,116543972
2020-05-28,76.7464,78.3645,76.4706,77.1076,138059695
2020-05-29,77.3478,77.8081,76.6738,77.0312,158492373
2020-06-01,76.9849,78.0976,76.8535,77.9778,83600183
2020-06-02,77.7109,78.3645,77.2714,78.34,90435463
2020-06-03,78.6589,79.0306,78.0858,78.7686,107820720
2020-06-04,78.5931,78.8905,77.7188,78.0907,90350380
2020-06-05,78.342,80.376,78.3127,80.3163,141623536
2020-06-08,80.014,80.8243,79.3016,80.7911,98702466
2020-06-09,80.4712,83.7357,80.4388,83.3412,152419062
2020-06-10,84.288,85.9524,83.8504,85.4853,171961937
2020-06-11,84.6306,85.0565,81.2796,81.3828,208088215
2020-06-12,83.5187,84.2636,80.9754,82.0846,206523496
2020-06-15,80.739,83.7523,80.5761,83.0999,143231922
2020-06-16,85.1518,85.5725,83.5187,85.3018,170699941
2020-06-17,86.0456,86.1063,85.0623,85.183,118051948
2020-06-18,85.1398,85.6334,84.609,85.2174,99905465
2020-06-19,85.9209,86.3891,83.6231,84.7298,272903050
2020-06-22,85.123,87.0886,85.0771,86.9472,139761085
2020-06-23,88.1884,90.2217,87.7705,88.8037,218915590
2020-06-24,88.4309,89.3503,86.8619,87.2341,198761138
2020-06-25,87.3898,88.4309,86.6312,88.3914,141904523
2020-06-26,88.2885,88.5085,85.5285,85.6786,211797139
2020-06-29,85.5844,87.746,85.1085,87.6527,134808977
2020-06-30,87.2401,88.6704,87.2201,88.3818,144691352
2020-07-01,88.46,89.0037,88.1688,88.2151,114265764
2020-07-02,89.1237,89.7563,88.105,88.2151,117675280
2020-07-06,89.6418,91.042,89.6112,90.5759,122436490
2020-07-07,90.9535,91.7317,90.1843,90.2961,116006743
2020-07-08,91.2704,92.4283,91.1822,92.397,120822890
2020-07-09,93.2919,93.3437,91.7485,92.7287,129646077
2020-07-10,92.3891,93.0161,91.7807,92.9571,93133274
2020-07-13,94.2601,96.8742,92.3134,92.5283,197755838
2020-07-14,91.9112,94.2502,90.979,94.06,176437762
2020-07-15,95.9333,96.1844,93.5128,94.7086,158079424
2020-07-16,93.5795,94.3977,92.9416,93.5419,114101114
2020-07-17,93.9915,94.1485,92.8797,93.3535,95124338
2020-07-20,93.438,95.4594,93.0965,95.3199,93195791
2020-07-21,96.1128,96.1864,93.7552,94.0044,106948401
2020-07-22,93.7058,94.9492,93.6176,94.2681,91837596
2020-07-23,94.0044,94.0799,89.1687,89.9772,203281772
2020-07-24,88.1756,90.0988,86.394,89.7543,191347681
2020-07-27,90.818,91.975,90.5925,91.8827,125076555
2020-07-28,91.4549,91.6297,90.3675,90.3725,106927418
2020-07-29,90.8566,92.2873,90.821,92.1075,93207504
2020-07-30,91.2784,93.3251,90.8722,93.2213,163168667
2020-07-31,99.7135,103.135,97.7005,102.988,386222002
2020-08-03,104.844,108.19,104.548,105.569,317970312
2020-08-04,105.766,107.376,105.032,106.277,178298213
2020-08-05,106.002,106.993,105.531,106.66,125879098
2020-08-06,107.003,110.877,106.405,110.387,208879083
2020-08-07,109.917,110.368,107.082,107.866,203988331
2020-08-10,109.329,110.467,106.797,109.455,218776977
2020-08-11,108.709,109.211,105.934,106.199,193540730
2020-08-12,107.287,109.987,107.092,109.731,170924298
2020-08-13,111.094,112.656,110.616,111.653,216385960
2020-08-14,111.487,111.643,109.76,111.557,170533293
2020-08-17,112.675,112.705,110.635,111.271,123149103
